series,"09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025"
Kansas City Police Department,523,475,502,406,450,347,400,564,507,522,505,505,439,462,430,479,463,295,429,500,549,507,637,543,489,554,382,533,419,383,373,560,464,473,653,539,422,527,427,508,455,453,460,468,551,552,584,572,659,492,385,478,337,294,493,499,567,516,505,71,
Kansas City Police Department Clearances,139,122,117,108,134,102,139,174,135,146,129,139,132,103,103,149,95,69,132,91,115,121,95,104,108,128,70,91,100,70,69,100,109,65,136,102,83,115,79,90,107,99,119,65,141,97,119,113,103,101,87,86,66,75,100,89,105,120,93,15,
