series,"09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025"
Kansas City Police Department,14,8,14,8,10,12,17,13,10,13,14,13,11,17,8,18,14,11,10,16,15,7,19,20,11,23,12,9,11,10,19,17,18,23,18,16,12,10,15,11,5,14,10,15,12,18,11,17,13,10,8,8,13,9,13,12,16,17,11,4,
Kansas City Police Department Clearances,7,7,11,9,9,12,8,10,5,7,8,6,7,10,5,12,6,3,12,11,6,5,6,11,9,10,4,18,4,4,15,7,6,13,18,10,11,11,13,10,1,5,11,7,12,7,7,11,9,9,12,10,5,7,6,6,5,3,6,0,
