SB Number,Date,Attendance,Winner,QB Winner,Coach Winner,Winner Pts,Loser,QB Loser,Coach Loser,Losing Pts,MVP,Stadium,City,State,Point Difference
XXVII,"January 31, 1993","98,374",Dallas Cowboys,Troy Aikman,Jimmy Johnson,52,Buffalo Bills,"Jim Kelly, Frank Reich",Marv Levy,17,Troy Aikman,Rose Bowl,Pasadena,California,35
XXVI,"January 26, 1992","63,130",Washington Redskins,Mark Rypien,Joe Gibbs,37,Buffalo Bills,Jim Kelly,Marv Levy,24,Mark Rypien,Metrodome,Minneapolis,Minnesota,13
XXV,"January 27, 1991","73,813",New York Giants,Jeff Hostetler,Bill Parcells,20,Buffalo Bills,Jim Kelly,Marv Levy,19,Ottis Anderson,Tampa Stadium,Tampa,Florida,1
XXIV,"January 28, 1990","72,919",San Francisco 49ers,Joe Montana,George Seifert,55,Denver Broncos,John Elway,Dan Reeves,10,Joe Montana,Louisiana Superdome,New Orleans,Louisiana,45
XXIII,"January 22, 1989","75,129",San Francisco 49ers,Joe Montana,Bill Walsh,20,Cincinnati Bengals,Boomer Esiason,Sam Wyche,16,Jerry Rice,Joe Robbie Stadium,Miami Gardens,Florida,4
XXII,"January 31, 1988","73,302",Washington Redskins,Doug Williams,Joe Gibbs,42,Denver Broncos,John Elway,Dan Reeves,10,Doug Williams,Jack Murphy Stadium,San Diego,California,32
XXI,"January 25, 1987","101,063",New York Giants,Phil Simms,Bill Parcells,39,Denver Broncos,John Elway,Dan Reeves,20,Phil Simms,Rose Bowl,Pasadena,California,19
XX,"January 26, 1986","73,818",Chicago Bears,Jim McMahon,Mike Ditka,46,New England Patriots,"Tony Eason, Steve Grogan",Raymond Berry,10,Richard Dent,Louisiana Superdome,New Orleans,Louisiana,36
XIX,"January 20, 1985","84,059",San Francisco 49ers,Joe Montano,Bill Walsh,38,Miami Dolphins,Dan Marino,Don Shula,16,Joe Montana,Stanford Stadium,Palo Alto,California,22
XVIII,"January 22, 1984","72,920",Los Angeles Raiders,Jim Plunkett,Tom Flores,38,Washington Redskins,Joe Theismann,Joe Gibbs,9,Marcus Allen,Tampa Stadium,Tampa,Florida,29
XVII,"January 30, 1983","103,667",Washington Redskins,Joe Theismann,Joe Gibbs,27,Miami Dolphins,David Woodley,Don Shula,17,John Riggins,Rose Bowl,Pasadena,California,10
XVI,"January 24, 1982","81,270",San Francisco 49ers,Joe Montana,Bill Walsh,26,Cincinnati Bengals,Ken Anderson,Forrest Gregg,21,Joe Montana,Pontiac Silverdome,Pontiac,Michigan,5
XV,"January 25, 1981","76,135",Oakland Raiders,Jim Plunkett,Tom Flores,27,Philadelphia Eagles,Ron Jaworski,Dick Vermeil,10,Jim Plunkett,Louisiana Superdome,New Orleans,Louisiana,17
XIV,"January 20, 1980","103,985",Pittsburgh Steelers,Terry Bradshaw,Chuck Noll,31,Los Angeles Rams,Vince Ferragamo,Ray Malavasi,19,Terry Bradshaw,Rose Bowl,Pasadena,California,12
XIII,"January 21, 1979","79,484",Pittsburgh Steelers,Terry Bradshaw,Chuck Noll,35,Dallas Cowboys,Roger Staubach,Tom Landry,31,Terry Bradshaw,Orange Bowl,Miami,Florida,4
XII,"January 15, 1978","76,400",Dallas Cowboys,Roger Staubach,Tom Landry,27,Denver Broncos,Craig Morton,Red Miller,10,"Harvey Martin, Randy White",Superdome,New Orleans,Louisiana,17
XI,"January 9, 1977","103,438",Oakland Raiders,Kenny Stabler,John Madden,32,Minnesota Vikings,Fran Tarkenton,Bud Grant,14,Fred Biletnikoff,Rose Bowl,Pasadena,California,18
X,"January 18, 1976","80,187",Pittsburgh Steelers,Terry Bradshaw,Chuck Noll,21,Dallas Cowboys,Roger Staubach,Tom Landry,17,Lynn Swann,Orange Bowl,Miami,Florida,4
IX,"January 12, 1975","80,997",Pittsburgh Steelers,Terry Bradshaw,Chuck Noll,16,Minnesota Vikings,Fran Tarkenton,Bud Grant,6,Franco Harris,Tulane Stadium,New Orleans,Louisiana,10
VIII,"January 13, 1974","71,882",Miami Dolphins,Bob Griese,Don Shula,24,Minnesota Vikings,Fran Tarkenton,Bud Grant,7,Larry Csonka,Rice Stadium,Houston,Texas,17
VII,"January 14, 1973","90,182",Miami Dolphins,Bob Griese,Don Shula,14,Washington Redskins,Bill Kilmer,George Allen,7,Jake Scott,Memorial Coliseum,Los Angeles,California,7
VI,"January 16, 1972","81,023",Dallas Cowboys,Roger Staubach,Tom Landry,24,Miami Dolphins,Bob Griese,Don Shula,3,Roger Staubach,Tulane Stadium,New Orleans,Louisiana,21
V,"January 17, 1971","79,204",Baltimore Colts,"Earl Morrall , Johnny Unitas",Don McCafferty,16,Dallas Cowboys,Craig Morton,Tom Landry,13,Chuck Howley,Orange Bowl,Miami,Florida,3
IV,"January 11, 1970","80,562",Kansas City Chiefs,"Len Dawson, Mike Livingston",Hank Stram,23,Minnesota Vikings,Joe Kapp,Bud Grant,7,Len Dawson,Tulane Stadium,New Orleans,Louisiana,16
III,"January 12, 1969","75,389",New York Jets,Joe Namath,Weeb Ewbank,16,Baltimore Colts,"Earl Morrall, Johnny Unitas",Don Shula,7,Joe Namath,Orange Bowl,Miami,Florida,9
II,"January 14, 1968","75,546",Green Bay Packers,Bart Starr,Vince Lombardi,33,Oakland Raiders,Daryle Lamonica,John Rauch,14,Bart Starr,Orange Bowl,Miami,Florida,19
I,"January 15, 1967","61,946",Green Bay Packers,Bart Starr,Vince Lombardi,35,Kansas City Chiefs,Len Dawson,Hank Stram,10,Bart Starr,Memorial Coliseum,Los Angeles,California,25
